NAME;EXPONENT;SIZE;TIME
brute_force;13;8192;4175299291
better_brute_force;13;8192;2014146605
divide_and_conquer;13;8192;48990154
better_divide_and_conquer;13;8192;39977974
brute_force;13.25;9742;5910882374
better_brute_force;13.25;9742;2853376751
divide_and_conquer;13.25;9742;60887074
better_divide_and_conquer;13.25;9742;53136896
brute_force;13.5;11585;8351705170
better_brute_force;13.5;11585;4028499168
divide_and_conquer;13.5;11585;70477323
better_divide_and_conquer;13.5;11585;62000162
brute_force;13.75;13777;11812317058
better_brute_force;13.75;13777;5696880126
divide_and_conquer;13.75;13777;84887900
better_divide_and_conquer;13.75;13777;72832586
brute_force;14;16384;16708623632
better_brute_force;14;16384;8056755974
divide_and_conquer;14;16384;104404130
better_divide_and_conquer;14;16384;86732899
brute_force;14.25;19484;23633211809
better_brute_force;14.25;19484;11396793236
divide_and_conquer;14.25;19484;130179941
better_divide_and_conquer;14.25;19484;114749676
brute_force;14.5;23170;33421030513
better_brute_force;14.5;23170;16119935074
divide_and_conquer;14.5;23170;150723479
better_divide_and_conquer;14.5;23170;134051855
brute_force;14.75;27554;47265067172
better_brute_force;14.75;27554;22792986296
divide_and_conquer;14.75;27554;180812010
better_divide_and_conquer;14.75;27554;157175202
brute_force;15;32768;66845202793
better_brute_force;15;32768;32238927301
divide_and_conquer;15;32768;222475839
better_divide_and_conquer;15;32768;187392437
